MES,REGIAO_PAIS,POPULACAO,CID_TIPO,SEXO,BENEF_TIPO,STATUS_BENEFICIARIO,QTD_BENEFICIOS,TAXA_BENEFICIOS
2024-06-01,Centro-Oeste,17071595,Circulatório,Feminino,Auxílio Doenca Previdenciário,Autônomo,128,0.7497834853743894
2024-06-01,Centro-Oeste,17071595,Circulatório,Feminino,Auxílio Doenca Previdenciário,Desempregado,70,0.41003784356411926
2024-06-01,Centro-Oeste,17071595,Circulatório,Feminino,Auxílio Doenca Previdenciário,Doméstico,46,0.2694534400564212
2024-06-01,Centro-Oeste,17071595,Circulatório,Feminino,Auxílio Doenca Previdenciário,Empregado,236,1.3824133011590305
2024-06-01,Centro-Oeste,17071595,Circulatório,Feminino,Auxílio Doenca Previdenciário,Facultativo,17,0.0995806191512861
2024-06-01,Centro-Oeste,17071595,Circulatório,Feminino,Auxílio Doenca Previdenciário,Segurado Especial,10,0.058576834794874175
2024-06-01,Centro-Oeste,17071595,Circulatório,Feminino,Auxílio Doenca por Acidente do Trabalho,Empregado,2,0.011715366958974835
2024-06-01,Centro-Oeste,17071595,Circulatório,Masculino,Auxílio Doenca Previdenciário,Autônomo,151,0.8845102054026001
2024-06-01,Centro-Oeste,17071595,Circulatório,Masculino,Auxílio Doenca Previdenciário,Desempregado,177,1.0368099758692728
2024-06-01,Centro-Oeste,17071595,Circulatório,Masculino,Auxílio Doenca Previdenciário,Doméstico,3,0.017573050438462252
2024-06-01,Centro-Oeste,17071595,Circulatório,Masculino,Auxílio Doenca Previdenciário,Empregado,323,1.892031763874436
2024-06-01,Centro-Oeste,17071595,Circulatório,Masculino,Auxílio Doenca Previdenciário,Facultativo,11,0.0644345182743616
2024-06-01,Centro-Oeste,17071595,Circulatório,Masculino,Auxílio Doenca Previdenciário,Segurado Especial,21,0.12301135306923577
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Feminino,Amp. Social Pessoa Portadora Deficiencia,Desempregado,2,0.011715366958974835
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Feminino,Amp. Social Pessoa Portadora Deficiencia,Doméstico,1,0.0058576834794874175
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Autônomo,97,0.5681952975102795
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Desempregado,78,0.45689931140001855
2024-06-01,Centro-Oeste,17071595,Doenças do sistema nervoso,Feminino,Auxílio Doenca Previdenciário,Doméstico,28,0.1640151374256477
